"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","FDR","condition"
"B cell","DCTC","Ccl5","Ccr1",0.00151516530687434,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0,"Control"
"CDPC","DCTC","Ccl5","Ccr1",0.000149392395670822,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0,"Control"
"DCTC","DCTC","Ccl5","Ccr1",0.000118842328329856,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0,"Control"
"Fibroblast","DCTC","Ccl5","Ccr1",0.000199472693302245,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0,"Control"
"Macrophage","DCTC","Ccl5","Ccr1",1.95718041520335e-05,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0,"Control"
"Medullary cell","DCTC","Ccl5","Ccr1",0.000115326709315035,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0,"Control"
"Neutrophil","DCTC","Ccl5","Ccr1",6.52600669912231e-06,0.02,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0.0202933673469388,"Control"
"NK cell","DCTC","Ccl5","Ccr1",0.000562924521034267,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0,"Control"
"PTC-1","DCTC","Ccl5","Ccr1",5.68644196627468e-06,0.02,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0.0202933673469388,"Control"
"PTC-2","DCTC","Ccl5","Ccr1",8.69908014019696e-05,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0,"Control"
"PTC-3","DCTC","Ccl5","Ccr1",4.09545221948569e-06,0.02,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0.0202933673469388,"Control"
"VEC","DCTC","Ccl5","Ccr1",4.08251644633314e-05,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060",0,"Control"
